"","ID","gender","attitude","speaker","item","meanf0","articulationRate","f0Span","N.x","H1_H2","N.y","meanIntensity","N"
"181","F6_1_Def","F","Def","F6",1,273.38,5.8173356602676,98.32,10,4.95956558175,12,62.7584545454545,11
"182","F6_1_Non","F","Non","F6",1,278.836363636364,5.89812332439678,120.73,11,3.61347631566667,12,65.9057272727273,11
"183","F6_10_Def","F","Def","F6",10,267.844444444444,4.09649522075558,118.175,9,3.13162634833333,9,60.1442222222222,9
"184","F6_10_Non","F","Non","F6",10,267.477777777778,4.78468899521531,108.795,9,2.80150635477778,9,64.4422222222222,9
"185","F6_2_Def","F","Def","F6",2,277.5,4.86026731470231,163.24,8,5.706048669625,8,64.137875,8
"186","F6_2_Non","F","Non","F6",2,281.45,5.13478818998716,117.175,8,-1.2646208685,8,67.812,8
"187","F6_3_Def","F","Def","F6",3,296.955555555556,5.18433179723502,136.3,9,4.71762585188889,9,59.079,9
"188","F6_3_Non","F","Non","F6",3,270.633333333333,5.61797752808989,133.015,9,-12.2165040642222,9,64.3382222222222,9
"189","F6_4_Def","F","Def","F6",4,275.9,4.87567040468064,141.935,10,12.0961218567,10,61.5363,10
"190","F6_4_Non","F","Non","F6",4,232.111111111111,5.00834724540902,131.805,9,-3.1389943417,10,65.3228,10
"191","F6_5_Def","F","Def","F6",5,315.277777777778,5.82901554404145,152.185,9,2.73087433966667,9,60.6303333333333,9
"192","F6_5_Non","F","Non","F6",5,294.744444444444,5.87851077726976,133.725,9,-2.12237899777778,9,69.0426666666667,9
"193","F6_6_Def","F","Def","F6",6,274.490909090909,5.23062291963861,133.37,11,7.392416994,12,63.2896363636364,11
"194","F6_6_Non","F","Non","F6",6,249.845454545455,5.82010582010582,118.145,11,5.20456059633333,12,68.2551818181818,11
"195","F6_7_Def","F","Def","F6",7,282.433333333333,5.95238095238095,136.035,9,0.423508124444445,9,58.8765555555556,9
"196","F6_7_Non","F","Non","F6",7,271.322222222222,4.99445061043285,133.99,9,-3.47708058466667,9,63.1916666666667,9
"197","F6_8_Def","F","Def","F6",8,267.275,5.40906017579446,107.97,8,6.608475553375,8,60.830875,8
"198","F6_8_Non","F","Non","F6",8,266.6,6.43086816720257,126.295,8,3.9765160005,8,65.254875,8
"199","F6_9_Def","F","Def","F6",9,284.028571428571,4.66977985323549,104.19,7,9.829366671,7,63.2436666666667,6
"200","F6_9_Non","F","Non","F6",9,286.342857142857,4.06032482598608,129.14,7,5.88881619242857,7,68.4001666666667,6
"201","F7_1_Def","F","Def","F7",1,243.727272727273,5.80168776371308,94.815,11,6.08517319041667,12,64.9801818181818,11
"202","F7_1_Non","F","Non","F7",1,264.4,8.3969465648855,130.665,11,6.03746662358333,12,69.2829090909091,11
"203","F7_10_Def","F","Def","F7",10,271.133333333333,6.0893098782138,126,9,7.21372982188889,9,65.5924444444444,9
